20:33:53 | INFO    | Model: naea | Device: cuda
20:33:54 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
20:33:58 | INFO    | Params: 12.69M
20:33:58 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/logs/naea_zh_en_0_3_20260718-203353
20:33:58 | INFO    | Device: cuda:0 | entities=38960 relations=3024 triples=165556 seed_pairs=4500 test_pairs=10500
21:22:10 | INFO    | epoch  146/500 | loss=0.1414 (kge=0.1370 align=0.0008 pseudo=0.0014)
21:22:31 | INFO    | epoch  147/500 | loss=0.1405 (kge=0.1369 align=0.0007 pseudo=0.0004)
21:22:53 | INFO    | epoch  148/500 | loss=0.1396 (kge=0.1365 align=0.0006 pseudo=0.0004)
21:23:15 | INFO    | epoch  149/500 | loss=0.1394 (kge=0.1357 align=0.0007 pseudo=0.0005)
21:23:37 | INFO    | epoch  150/500 | loss=0.1389 (kge=0.1356 align=0.0006 pseudo=0.0005) | hard-neg refreshed | bootstrap: 5554 pseudo-pairs (beta=0.4)
21:23:37 | INFO    |            [l2r] MRR=0.7099 Hit@1=0.6251 Hit@5=0.8162 Hit@10=0.8601 MR=61.7 | [r2l] MRR=0.7086 Hit@1=0.6256 Hit@5=0.8115 Hit@10=0.8582 MR=59.1 | [avg] MRR=0.7092 Hit@1=0.6254 Hit@5=0.8139 Hit@10=0.8591 MR=60.4
21:23:39 | INFO    |            -> new best MRR=0.7092 (saved model_best.pt)
21:24:01 | INFO    | epoch  151/500 | loss=0.1395 (kge=0.1355 align=0.0007 pseudo=0.0009)
21:24:23 | INFO    | epoch  152/500 | loss=0.1393 (kge=0.1353 align=0.0008 pseudo=0.0004)
21:24:45 | INFO    | epoch  153/500 | loss=0.1408 (kge=0.1355 align=0.0010 pseudo=0.0005)
21:25:07 | INFO    | epoch  154/500 | loss=0.1400 (kge=0.1354 align=0.0009 pseudo=0.0006)
