04:26:49 | INFO    | Model: bootea | Device: cuda
04:26:50 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
04:26:52 | INFO    | Params: 12.60M
04:26:52 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/bootea_zh_en_0_3_20260718-042649
04:26:52 | INFO    | Device: cuda:0 | entities=38960 relations=3024 base_triples=165556 triples(+seed-swap)=246959 seed_pairs=4500 test_pairs=10500
04:31:30 | INFO    | epoch  128/500 | loss=0.8103 (kge=0.7747 align=0.0068 pseudo=0.0018)
04:31:32 | INFO    | epoch  129/500 | loss=0.8083 (kge=0.7740 align=0.0065 pseudo=0.0019)
04:31:35 | INFO    | epoch  130/500 | loss=0.8071 (kge=0.7728 align=0.0065 pseudo=0.0018) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6967 pseudo-pairs (beta=1.0)
04:31:35 | INFO    |            [l2r] MRR=0.6597 Hit@1=0.5524 Hit@5=0.7929 Hit@10=0.8528 MR=37.1 | [r2l] MRR=0.6575 Hit@1=0.5526 Hit@5=0.7856 Hit@10=0.8458 MR=29.0 | [avg] MRR=0.6586 Hit@1=0.5525 Hit@5=0.7892 Hit@10=0.8493 MR=33.0
04:31:36 | INFO    |            -> new best MRR=0.6586 (saved model_best.pt)
04:31:38 | INFO    | epoch  131/500 | loss=0.8141 (kge=0.7768 align=0.0071 pseudo=0.0020)
04:31:40 | INFO    | epoch  132/500 | loss=0.8098 (kge=0.7752 align=0.0065 pseudo=0.0019)
04:31:42 | INFO    | epoch  133/500 | loss=0.8100 (kge=0.7743 align=0.0068 pseudo=0.0018)
04:31:44 | INFO    | epoch  134/500 | loss=0.8082 (kge=0.7736 align=0.0066 pseudo=0.0018)
04:31:47 | INFO    | epoch  135/500 | loss=0.8054 (kge=0.7725 align=0.0062 pseudo=0.0018) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6961 pseudo-pairs (beta=1.0)
04:31:50 | INFO    | epoch  136/500 | loss=0.8114 (kge=0.7762 align=0.0067 pseudo=0.0018)
04:31:52 | INFO    | epoch  137/500 | loss=0.8091 (kge=0.7743 align=0.0066 pseudo=0.0019)
