20:28:24 | INFO    | Model: dgmc | Device: cuda
20:28:30 | INFO    | Data: {'pair': 'zh_en', 'num_features': 300, '|src nodes|': 19388, '|tgt nodes|': 19572, '|src edges|': 70414, '|tgt edges|': 95142, 'train_y': 4500, 'test_y': 10500}
20:28:33 | INFO    | Params: 0.91M
20:28:33 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/dgmc_zh_en_20260718-202824
20:28:33 | INFO    | Device: cuda:0 | src=19388 tgt=19572 feat=300 train_y=4500 test_y=10500
20:28:33 | INFO    | Phase 1 (1..100): local feature matching (num_steps=0).
20:29:35 | INFO    | epoch  164/300 | loss=0.0178 | Hit@1=0.7533 Hit@10=0.8386 MRR=0.7832
20:29:36 | INFO    | epoch  165/300 | loss=0.0206 | Hit@1=0.7550 Hit@10=0.8375 MRR=0.7841
20:29:37 | INFO    | epoch  166/300 | loss=0.0174 | Hit@1=0.7500 Hit@10=0.8383 MRR=0.7818
20:29:38 | INFO    | epoch  167/300 | loss=0.0137 | Hit@1=0.7512 Hit@10=0.8376 MRR=0.7821
20:29:38 | INFO    | epoch  168/300 | loss=0.0165 | Hit@1=0.7550 Hit@10=0.8376 MRR=0.7838
20:29:39 | INFO    | epoch  169/300 | loss=0.0104 | Hit@1=0.7504 Hit@10=0.8360 MRR=0.7815
20:29:40 | INFO    | epoch  170/300 | loss=0.0130 | Hit@1=0.7529 Hit@10=0.8384 MRR=0.7829
20:29:41 | INFO    | epoch  171/300 | loss=0.0145 | Hit@1=0.7511 Hit@10=0.8369 MRR=0.7819
20:29:42 | INFO    | epoch  172/300 | loss=0.0124 | Hit@1=0.7537 Hit@10=0.8372 MRR=0.7837
20:29:42 | INFO    | epoch  173/300 | loss=0.0147 | Hit@1=0.7527 Hit@10=0.8379 MRR=0.7835
20:29:43 | INFO    | epoch  174/300 | loss=0.0106 | Hit@1=0.7540 Hit@10=0.8382 MRR=0.7843
20:29:44 | INFO    | epoch  175/300 | loss=0.0153 | Hit@1=0.7530 Hit@10=0.8372 MRR=0.7832
20:29:45 | INFO    | epoch  176/300 | loss=0.0120 | Hit@1=0.7512 Hit@10=0.8388 MRR=0.7824
20:29:45 | INFO    | epoch  177/300 | loss=0.0129 | Hit@1=0.7523 Hit@10=0.8371 MRR=0.7830
20:29:46 | INFO    | epoch  178/300 | loss=0.0084 | Hit@1=0.7545 Hit@10=0.8371 MRR=0.7839
20:29:47 | INFO    | epoch  179/300 | loss=0.0106 | Hit@1=0.7534 Hit@10=0.8371 MRR=0.7838
20:29:47 | INFO    | epoch  180/300 | loss=0.0062 | Hit@1=0.7543 Hit@10=0.8380 MRR=0.7840
20:29:48 | INFO    | epoch  181/300 | loss=0.0094 | Hit@1=0.7535 Hit@10=0.8390 MRR=0.7839
20:29:49 | INFO    | epoch  182/300 | loss=0.0078 | Hit@1=0.7504 Hit@10=0.8382 MRR=0.7819
20:29:50 | INFO    | epoch  183/300 | loss=0.0078 | Hit@1=0.7533 Hit@10=0.8375 MRR=0.7839
20:29:51 | INFO    | epoch  184/300 | loss=0.0102 | Hit@1=0.7530 Hit@10=0.8384 MRR=0.7841
20:29:51 | INFO    | epoch  185/300 | loss=0.0110 | Hit@1=0.7529 Hit@10=0.8388 MRR=0.7839
20:29:52 | INFO    | epoch  186/300 | loss=0.0115 | Hit@1=0.7541 Hit@10=0.8388 MRR=0.7841
20:29:53 | INFO    | epoch  187/300 | loss=0.0077 | Hit@1=0.7526 Hit@10=0.8396 MRR=0.7836
20:29:54 | INFO    | epoch  188/300 | loss=0.0113 | Hit@1=0.7524 Hit@10=0.8378 MRR=0.7835
20:29:54 | INFO    | epoch  189/300 | loss=0.0087 | Hit@1=0.7538 Hit@10=0.8378 MRR=0.7842
20:29:55 | INFO    | epoch  190/300 | loss=0.0072 | Hit@1=0.7525 Hit@10=0.8372 MRR=0.7834
20:29:56 | INFO    | epoch  191/300 | loss=0.0079 | Hit@1=0.7513 Hit@10=0.8370 MRR=0.7823
20:29:57 | INFO    | epoch  192/300 | loss=0.0091 | Hit@1=0.7523 Hit@10=0.8385 MRR=0.7828
20:29:57 | INFO    | epoch  193/300 | loss=0.0103 | Hit@1=0.7561 Hit@10=0.8386 MRR=0.7857
20:29:58 | INFO    |            -> new best Hit@1=0.7561 (saved model_best.pt)
20:29:58 | INFO    | epoch  194/300 | loss=0.0058 | Hit@1=0.7527 Hit@10=0.8384 MRR=0.7832
20:29:59 | INFO    | epoch  195/300 | loss=0.0058 | Hit@1=0.7539 Hit@10=0.8394 MRR=0.7839
20:30:00 | INFO    | epoch  196/300 | loss=0.0097 | Hit@1=0.7541 Hit@10=0.8393 MRR=0.7843
20:30:01 | INFO    | epoch  197/300 | loss=0.0074 | Hit@1=0.7556 Hit@10=0.8386 MRR=0.7849
20:30:01 | INFO    | epoch  198/300 | loss=0.0085 | Hit@1=0.7545 Hit@10=0.8383 MRR=0.7847
20:30:02 | INFO    | epoch  199/300 | loss=0.0095 | Hit@1=0.7521 Hit@10=0.8372 MRR=0.7827
20:30:03 | INFO    | epoch  200/300 | loss=0.0096 | Hit@1=0.7526 Hit@10=0.8380 MRR=0.7831
20:30:04 | INFO    | epoch  201/300 | loss=0.0076 | Hit@1=0.7553 Hit@10=0.8389 MRR=0.7853
20:30:04 | INFO    | epoch  202/300 | loss=0.0041 | Hit@1=0.7569 Hit@10=0.8377 MRR=0.7851
20:30:05 | INFO    |            -> new best Hit@1=0.7569 (saved model_best.pt)
20:30:05 | INFO    | epoch  203/300 | loss=0.0088 | Hit@1=0.7549 Hit@10=0.8377 MRR=0.7847
20:30:06 | INFO    | epoch  204/300 | loss=0.0055 | Hit@1=0.7525 Hit@10=0.8389 MRR=0.7833
20:30:07 | INFO    | epoch  205/300 | loss=0.0066 | Hit@1=0.7536 Hit@10=0.8381 MRR=0.7839
20:30:08 | INFO    | epoch  206/300 | loss=0.0086 | Hit@1=0.7530 Hit@10=0.8368 MRR=0.7832
20:30:08 | INFO    | epoch  207/300 | loss=0.0048 | Hit@1=0.7522 Hit@10=0.8392 MRR=0.7829
20:30:09 | INFO    | epoch  208/300 | loss=0.0056 | Hit@1=0.7550 Hit@10=0.8376 MRR=0.7844
20:30:10 | INFO    | epoch  209/300 | loss=0.0073 | Hit@1=0.7548 Hit@10=0.8378 MRR=0.7848
20:30:11 | INFO    | epoch  210/300 | loss=0.0026 | Hit@1=0.7539 Hit@10=0.8381 MRR=0.7840
20:30:11 | INFO    | epoch  211/300 | loss=0.0039 | Hit@1=0.7537 Hit@10=0.8378 MRR=0.7836
20:30:12 | INFO    | epoch  212/300 | loss=0.0081 | Hit@1=0.7554 Hit@10=0.8382 MRR=0.7852
20:30:13 | INFO    | epoch  213/300 | loss=0.0048 | Hit@1=0.7530 Hit@10=0.8383 MRR=0.7837
20:30:13 | INFO    | epoch  214/300 | loss=0.0133 | Hit@1=0.7547 Hit@10=0.8377 MRR=0.7845
20:30:14 | INFO    | epoch  215/300 | loss=0.0052 | Hit@1=0.7545 Hit@10=0.8363 MRR=0.7841
20:30:15 | INFO    | epoch  216/300 | loss=0.0056 | Hit@1=0.7535 Hit@10=0.8368 MRR=0.7835
20:30:16 | INFO    | epoch  217/300 | loss=0.0092 | Hit@1=0.7542 Hit@10=0.8382 MRR=0.7844
20:30:16 | INFO    | epoch  218/300 | loss=0.0045 | Hit@1=0.7518 Hit@10=0.8375 MRR=0.7826
20:30:17 | INFO    | epoch  219/300 | loss=0.0039 | Hit@1=0.7555 Hit@10=0.8382 MRR=0.7851
20:30:18 | INFO    | epoch  220/300 | loss=0.0047 | Hit@1=0.7574 Hit@10=0.8370 MRR=0.7854
20:30:18 | INFO    |            -> new best Hit@1=0.7574 (saved model_best.pt)
20:30:19 | INFO    | epoch  221/300 | loss=0.0045 | Hit@1=0.7561 Hit@10=0.8363 MRR=0.7854
20:30:20 | INFO    | epoch  222/300 | loss=0.0118 | Hit@1=0.7523 Hit@10=0.8376 MRR=0.7824
20:30:20 | INFO    | epoch  223/300 | loss=0.0072 | Hit@1=0.7548 Hit@10=0.8373 MRR=0.7845
20:30:21 | INFO    | epoch  224/300 | loss=0.0045 | Hit@1=0.7535 Hit@10=0.8371 MRR=0.7835
20:30:22 | INFO    | epoch  225/300 | loss=0.0059 | Hit@1=0.7543 Hit@10=0.8375 MRR=0.7840
20:30:22 | INFO    | epoch  226/300 | loss=0.0056 | Hit@1=0.7553 Hit@10=0.8377 MRR=0.7850
20:30:23 | INFO    | epoch  227/300 | loss=0.0030 | Hit@1=0.7543 Hit@10=0.8368 MRR=0.7841
20:30:24 | INFO    | epoch  228/300 | loss=0.0046 | Hit@1=0.7533 Hit@10=0.8370 MRR=0.7834
